Name,Seeders,Leechers,Time,Size
"Star Wars The L","6611","3427","9pm Dec. 15th","2.2 GB"
"The.Walking.Dea","2479","322","5am Dec. 11th","341.5 MB"
"Vikings.S05E04.","6072","574","4am Dec. 14th","308.5 MB"
"Flatliners (201","1553","296","4am Dec. 12th","999.8 MB"
"Thor Ragnarok 2","2342","1515","10pm Dec. 14th","2.3 GB"
"Eminem - Reviva","3334","434","10pm Dec. 13th","183.4 MB"
"Fukrey Returns ","132","153","8pm Dec. 10th","1.0 GB"
"Ittefaq (2017) ","263","78","8am Dec. 15th","720.0 MB"
"Lucifer.S03E10.","865","55","3am Dec. 12th","342.9 MB"
"The Mountain Be","1784","489","12am Dec. 13th","1.4 GB"
"The.Walking.Dea","3997","251","5am Dec. 11th","1.1 GB"
"The.Snowman.201","1521","600","4pm Dec. 11th","1.4 GB"
"A.StoryBots.Chr","29","7","9am Dec. 1st","558.0 MB"
"Disney Channel ","19","9","7pm Dec. 1st","1.2 GB"
"Mickey's Christ","5","1","Nov. 23rd '17","678.1 MB"
"A.Charlie.Brown","17","3","Nov. 26th '17","442.1 MB"
"The Ultimate Ch","12","2","Nov. 30th '17","1.1 GB"
"VA - Christmas ","14","1","Nov. 22nd '17","100.8 MB"
"With Love, Chri","226","54","Nov. 23rd '17","1.0 GB"
"Mickey's Twice ","4","1","Nov. 23rd '17","1.3 GB"
"How the Grinch ","302","30","4pm Dec. 2nd","183.6 MB"
"Jennifer Saran ","34","5","Nov. 24th '17","168.7 MB"
"Good Luck Charl","33","9","4pm Dec. 1st","938.7 MB"
"Santa.Paws.2.Th","2","1","Nov. 25th '17","705.0 MB"
"Thor Ragnarok 2","516","789","5:01am","2.3 GB"
"Star Wars The L","324","353","7pm Dec. 16th","1.5 GB"
"Star Wars The L","295","218","6pm Dec. 16th","2.2 GB"
"Star Wars The L","251","101","7:12am","1.2 GB"
"Darkland.2017.1","178","190","8pm Dec. 16th","4.4 GB"
"Star Wars: The ","153","80","5pm Dec. 16th","697.9 MB"
"Darkland.2017.7","126","137","8pm Dec. 16th","2.0 GB"
"The Hungry (201","106","210","5:21am","1.2 GB"
"Underfire.The.U","94","63","9pm Dec. 16th","594.3 MB"
"Hampstead 2017 ","78","51","8pm Dec. 16th","802.5 MB"
"Foreigner.2017.","60","47","7pm Dec. 16th","1.8 GB"
"Mumsy, Nanny, S","50","44","3:29am","1.5 GB"
"Nene Raju Nene ","698","892","11pm Dec. 16th","1.5 GB"
"Darkland 2017 7","256","248","8pm Dec. 16th","801.7 MB"
"Il.Colore.Nasco","226","150","9pm Dec. 16th","1.5 GB"
"Ittefaq 2017 Hi","158","428","7:42am","1.6 GB"
"Gatta.Cenerento","157","89","11pm Dec. 16th","1.2 GB"
"Missing.On.A.We","115","385","11:21am","1.0 GB"
"Aksar 2 2017 Hi","102","195","8:34am","874.5 MB"
"Sabse Badi Hera","93","152","6pm Dec. 16th","1.2 GB"
"Star Wars The L","79","125","6:53am","1.4 GB"
"Bigg Boss S11E7","77","40","6pm Dec. 16th","557.7 MB"
"UFC on Fox 26 L","3076","1198","6:26am","1.3 GB"
"UFC on Fox 26 P","915","578","5:23am","1.9 GB"
"UFC on Fox 26 E","908","272","1:42am","903.7 MB"
"UFC on Fox 26 7","799","422","7:43am","4.1 GB"
"Gold.Rush.S08E1","618","84","5pm Dec. 16th","368.1 MB"
"UFC.on.Fox.26.L","558","125","6:21am","1.3 GB"
"Dirk.Gentlys.Ho","522","78","6:30am","285.7 MB"
"Saturday.Night.","423","213","1:10pm","946.6 MB"
"UFC on Fox 26 P","419","186","4:34am","3.7 GB"
"Dirk.Gentlys.Ho","407","86","6:30am","923.8 MB"
"Saturday.Night.","388","131","1:11pm","1.3 GB"
"Z.Nation.S04E13","312","99","9pm Dec. 16th","576.5 MB"
"Now That`s What","147","36","8pm Dec. 16th","515.4 MB"
"Great Bluesmen-","71","19","12:30am","395.4 MB"
"Panic! At the D","50","22","9pm Dec. 16th","204.1 MB"
"Henry Jackman -","48","12","9pm Dec. 16th","147.2 MB"
"Eminem - Reviva","25","63","7pm Dec. 16th","157.3 MB"
"Ray Charles - A","24","23","6pm Dec. 16th","4.0 GB"
"Caetano Veloso ","22","4","9:34am","387.0 MB"
"Sir Rosevelt - ","15","9","9pm Dec. 16th","86.0 MB"
"Star Wars The L","11","17","9:12am","89.8 MB"
"Remy Zero-self ","9","1","11pm Dec. 16th","285.1 MB"
"VA - Illusion -","8","7","3:29pm","424.6 MB"
"G-Unit Radio MP","8","3","2:34am","827.1 MB"
"Internet Downlo","580","286","10pm Dec. 15th","10.3 MB"
"Top Paid Androi","123","126","11am Dec. 16th","3.2 GB"
"Final Cut Pro X","109","99","6pm Dec. 16th","3.1 GB"
"Lumion 8.0 Pro ","104","300","4pm Dec. 16th","9.5 GB"
"Internet Downlo","70","20","12:29am","6.5 MB"
"Internet Downlo","57","11","4pm Dec. 16th","6.5 MB"
"Universal Docum","52","11","9pm Dec. 16th","23.2 MB"
"Internet Downlo","51","1","10am Dec. 16th","14.0 MB"
"Pinnacle Studio","51","97","5pm Dec. 16th","4.4 GB"
"TeraByte Drive ","42","20","9pm Dec. 16th","677.1 MB"
"DriverPack Solu","38","85","10am Dec. 16th","15.6 GB"
"KMSAuto Lite 1.","36","1","8pm Dec. 15th","3.4 MB"
"They Are Billio","130","43","10pm Dec. 16th","1.1 GB"
"Fade to Silence","118","132","11pm Dec. 14th","14.7 GB"
"Drift Zone-PLAZ","111","17","5pm Dec. 14th","716.9 MB"
"Bud Spencer & T","109","23","9:15am","499.6 MB"
"ASSASSINS CREED","106","117","9pm Dec. 15th","29.4 GB"
"The Day After :","103","67","7am Dec. 15th","4.2 GB"
"The Legend of Z","65","58","6pm Dec. 15th","9.3 GB"
"Fallout 4 (v1.1","64","366","1am Dec. 15th","35.0 GB"
"Gorogoa-GOG","63","5","8am Dec. 15th","476.5 MB"
"Omega Quintet","53","36","9pm Dec. 15th","8.2 GB"
"Romancing SaGa ","51","7","10pm Dec. 15th","1.4 GB"
"Oxygen Not Incl","48","9","10pm Dec. 16th","474.1 MB"
"Sexual Secrets ","190","24","8pm Dec. 16th","2.4 MB"
"QuickBooks 2018","166","28","8pm Dec. 16th","23.4 MB"
"Champions of Il","151","24","8pm Dec. 16th","37.7 MB"
"Bicycling Magaz","150","12","7pm Dec. 16th","6.6 MB"
"The Sprouting B","142","10","7pm Dec. 16th","5.6 MB"
"Cooking The Mid","141","26","7pm Dec. 16th","4.9 MB"
"Cooking the Car","136","18","7pm Dec. 16th","5.4 MB"
"Workshop Master","133","25","7pm Dec. 16th","69.9 MB"
"Get Strong for ","130","26","8pm Dec. 16th","149.9 MB"
"Ketogenic Diet ","129","12","7pm Dec. 16th","339.9 KB"
"The Limits of O","127","18","8pm Dec. 16th","1.9 MB"
"Plain Words_ A ","119","14","8pm Dec. 16th","1.1 MB"
