serial_no,symbol,LTP,LTV,Point_change,change%,Open,High,Low,Volume,Previous_closing
"1.","API","476.00","16","-4.00","0.83","471","476","465","149","480"
"2.","NUBL","2,280.00","40","16.00","0.71","2,299","2,299","2,280","80","2,264"
"3.","CZBIL","295.00","133","-3.00","1.01","300","300","294","6,102","298"
"4.","PCBL","435.00","174","-6.00","1.36","441","441","435","13,335","441"
"5.","SBI","632.00","50","-13.00","2.33","645","641","630","3,620","645"
"6.","NLIC","1,868.00","10","-12.00","0.64","1,885","1,885","1,855","2,347","1,880"
"7.","NGBBL","790.00","10","18.00","2.33","759","816","746","37,028","772"
"8.","CCBL","215.00","12","-1.00","0.93","220","220","213","7,053","216"
"9.","CBL","191.00","108","-3.00","1.55","194","194","191","4,168","194"
"10.","KMCDB","1,798.00","20","-160.00","8.32","1,979","1,997","1,795","3,555","1,958"
"11.","CHCL","950.00","200","2.00","0.21","950","953","950","2,617","948"
"12.","JBNL","242.00","7","0.00","0.41","239","241","237","6,431","242"
"13.","NCCB","357.00","25","-1.00","0.28","354","360","354","12,586","358"
"14.","SCB","2,177.00","10","-2.00","0.09","2,187","2,190","2,161","6,927","2,179"
"15.","HGI","585.00","100","-14.00","2.34","590","600","570","17,713","599"
"16.","RMFL","1,598.00","10","-3.00","0.19","1,602","1,602","1,569","84","1,601"
"17.","SKBBL","1,187.00","10","0.00","0","1,200","1,200","1,185","288","1,187"
"18.","HPPL","394.00","20","-3.00","0.76","400","400","393","530","397"
"19.","SADBL","220.00","31","-3.00","1.35","224","224","216","1,753","223"
"20.","SANIMA","351.00","100","-3.00","0.85","350","353","347","12,418","354"
"21.","BOKL","410.00","58","1.00","0.24","410","414","409","8,555","409"
"22.","RBCL","14,500.00","200","50.00","0.35","14,549","14,549","14,500","369","14,450"
"23.","GDBL","276.00","50","-5.00","1.78","281","280","276","92","281"
"24.","SLICL","1,006.00","55","-9.00","0.89","1,005","1,006","1,005","255","1,015"
"25.","SICL","1,330.00","150","-6.00","0.45","1,335","1,338","1,330","460","1,336"
"26.","EBL","1,173.00","100","-11.00","0.93","1,184","1,188","1,167","7,138","1,184"
"27.","NICA","359.00","50","-6.00","1.64","358","360","351","1,515","365"
"28.","MMFDB","2,982.00","23","-43.00","1.42","3,000","3,000","2,982","69","3,025"
"29.","NABIL","1,155.00","50","-5.00","0.43","1,160","1,160","1,150","1,946","1,160"
"30.","GFCL","160.00","100","-3.00","1.84","160","160","160","200","163"
"31.","RMDC","749.00","10","9.00","1.22","740","755","740","2,546","740"
"32.","BARUN","205.00","10","4.00","1.99","205","205","202","30","201"
"33.","LEMF","10.00","5000","0.10","1.01","10","10","10","5,000","10"
"34.","HBL","832.00","200","-8.00","0.95","843","843","831","6,305","840"
"35.","NGPL","247.00","10","-7.00","2.76","259","260","245","327","254"
"36.","NBL","372.00","1000","-1.00","0.27","372","375","372","20,166","373"
"37.","GBBL","240.00","24","-1.00","0.41","241","241","238","1,409","241"
"38.","NIL","910.00","440","-22.00","2.36","915","915","908","1,550","932"
"39.","NIB","665.00","200","-7.00","1.04","671","671","660","2,691","672"
"40.","GBIME","326.00","3597","-4.00","1.21","328","330","326","119,036","330"
"41.","LFC","201.00","40","-13.00","6.07","218","218","201","3,670","214"
"42.","RHPC","158.00","10","-3.00","1.86","158","158","158","105","161"
"43.","NNLB","3,085.00","10","25.00","0.82","3,059","3,099","3,059","30","3,060"
"44.","SIL","1,100.00","27","-20.00","1.79","1,100","1,101","1,098","581","1,120"
"45.","JFL","240.00","22","-4.00","1.64","240","240","240","22","244"
"46.","GLICL","1,010.00","30","-5.00","0.49","1,005","1,020","1,005","692","1,015"
"47.","GUFL","159.00","200","-6.00","3.64","162","162","159","241","165"
"48.","NMB","476.00","150","-4.00","1.04","478","480","475","3,077","480"
"49.","TRH","317.00","30","-6.00","1.86","317","323","317","1,840","323"
"50.","SRBL","277.00","89","1.00","0.36","275","277","275","2,846","276"
"51.","MFIL","142.00","159","-2.00","1.39","142","142","140","1,169","144"
"52.","KMBSL","213.00","100","-12.00","5.33","221","221","213","690","225"
"53.","MSLB","1,873.00","10","72.00","4","1,837","1,873","1,837","20","1,801"
"54.","PRIN","875.00","40","-8.00","0.91","880","880","875","1,820","883"
"55.","LBBL","195.00","1000","0.00","0","196","196","193","1,108","195"
"56.","GIMES1","10.00","4747","0.10","1.01","10","10","10","4,747","10"
"57.","RBCLPO","13,550.00","40","50.00","0.37","13,256","13,550","13,256","85","13,500"
"58.","ADBL","427.00","20","2.00","0.47","430","430","423","3,440","425"
"59.","CLBSL","1,018.00","10","-7.00","0.68","1,020","1,020","1,018","40","1,025"
"60.","PICL","890.00","100","0.00","0","890","890","890","100","890"
"61.","SHINE","406.00","197","-7.00","1.69","413","413","405","765","413"
"62.","RSDC","1,266.00","2","-34.00","2.77","1,300","1,300","1,264","162","1,300"
"63.","HIDCL","180.00","58","-1.00","0.55","180","182","179","2,139","181"
"64.","FOWAD","3,500.00","24","-30.00","0.85","3,501","3,505","3,499","354","3,530"
"65.","PFL","207.00","200","-3.00","1.43","210","210","207","700","210"
"66.","BPCL","733.00","14","-2.00","0.27","731","735","730","3,330","735"
"67.","KBL","299.00","88","-2.00","0.66","296","301","296","7,849","301"
"68.","SKDBL","177.00","100","11.00","7.23","169","178","169","847","166"
"69.","NBB","286.00","14","-3.00","1.04","291","291","286","4,042","289"
"70.","JBBL","180.00","100","-1.00","0.55","181","182","180","1,144","181"
"71.","CFCL","175.00","60","-9.00","5.43","185","185","174","5,336","184"
"72.","LBL","273.00","58","2.00","0.74","268","273","268","4,113","271"
"73.","MNBBL","582.00","61","-8.00","1.36","585","590","580","826","590"
"74.","NHPC","120.00","40","-2.00","1.64","120","121","119","5,490","122"
"75.","BNT","7,600.00","10","400.00","5.56","7,344","7,791","7,340","240","7,200"
"76.","OHL","696.00","15","4.00","0.58","692","705","692","1,415","692"
"77.","UIC","1,295.00","100","-36.00","2.7","1,340","1,340","1,275","1,421","1,331"
"78.","MSMBS","915.00","50","-41.00","4.29","950","950","896","863","956"
"79.","NICL","1,450.00","10","-5.00","0.34","1,432","1,455","1,432","445","1,455"
"80.","JSLBB","3,713.00","10","-75.00","1.98","3,713","3,713","3,713","10","3,788"
"81.","KSBBL","192.00","81","-1.00","0.52","196","196","191","3,022","193"
"82.","NTC","912.00","160","-8.00","0.87","906","920","906","6,080","920"
"83.","NIBPO","592.00","187","8.00","1.37","592","592","592","187","584"
"84.","NLICL","1,665.00","100","-13.00","0.83","1,671","1,672","1,664","804","1,678"
"85.","NHDL","240.00","10","0.00","0","239","240","236","190","240"
"86.","PLIC","1,850.00","50","-6.00","0.32","1,850","1,850","1,850","60","1,856"
"87.","LGIL","676.00","200","-7.00","1.02","683","695","676","525","683"
"88.","SIC","1,400.00","75","-2.00","0.14","1,395","1,400","1,395","160","1,402"
"89.","MLBL","214.00","92","7.00","3.86","208","215","208","2,269","207"
"90.","DHPL","155.00","11","0.00","0","153","155","153","21","155"
"91.","FMDBL","900.00","15","5.00","1.12","895","905","880","1,746","895"
"92.","ODBL","255.00","300","-5.00","2.31","255","255","254","1,524","260"
"93.","NABILP","870.00","300","0.00","0","870","870","870","400","870"
"94.","PRVU","355.00","10","3.00","0.85","355","355","349","1,382","352"
"95.","MBL","286.00","100","-2.00","0.69","283","286","281","2,615","288"
"96.","NLBBL","1,015.00","100","8.00","0.79","1,000","1,027","1,000","1,727","1,007"
"97.","AKPL","360.00","10","0.00","0","354","360","354","504","360"
"98.","MDB","506.00","30","1.00","0.2","511","511","506","334","505"
"99.","NIBLPF","10.00","2525","-0.10","0.99","10","10","10","22,725","10"
"100.","PRVUPO","167.00","3736","-3.00","1.76","167","167","167","3,736","170"
"101.","HDL","1,265.00","10","-25.00","1.94","1,265","1,265","1,265","10","1,290"
"102.","SPDL","188.00","15","-4.00","2.08","195","198","188","414","192"
"103.","SBL","384.00","100","0.00","0.26","391","391","383","1,625","384"
"104.","EIC","2,600.00","40","0.00","0","2,600","2,600","2,600","115","2,600"
"105.","KKHC","158.00","16","2.00","1.28","154","158","153","144","156"
"106.","NLG","1,477.00","45","4.00","0.27","1,450","1,478","1,450","226","1,473"
"107.","GRDBL","565.00","10","-4.00","0.7","570","570","565","80","569"
"108.","UMHL","266.00","14","-4.00","1.48","265","266","265","128","270"
"109.","NMBSF1","13.50","5000","-0.16","1.17","14","14","14","5,000","14"
"110.","VLBS","1,024.00","11","-6.00","0.58","1,025","1,025","1,006","33","1,030"
"111.","AHPC","215.00","500","-2.00","0.92","217","217","210","3,761","217"
"112.","SFFIL","460.00","10","5.00","0","464","483","455","1,250","455"
"113.","NEF","10.10","483","0.08","0.8","10","10","10","2,415","10"
"114.","KBBL","240.00","500","-2.00","0.83","240","240","238","1,028","242"
"115.","SHPC","517.00","500","1.00","0.19","507","517","507","1,228","516"
"116.","NMFBS","2,674.00","19","46.00","1.75","2,628","2,674","2,628","29","2,628"
"117.","DBBL","190.00","591","-1.00","0.52","189","190","187","3,644","191"
"118.","CHL","184.00","34","0.00","0","183","184","180","118","184"
"119.","LVF1","11.75","2500","0.00","0","12","12","12","2,500","12"
"120.","JEFL","134.00","172","-1.00","1.48","134","134","133","500","135"
"121.","SBBLJ","252.00","10","8.00","3.28","248","252","248","20","244"
"122.","WOMI","1,600.00","7","-1.00","0","0","0","0","10","1,601"
"123.","MIDBL","265.00","15","2.00","0.76","265","265","265","15","263"
"124.","NMBHF1","10.10","832","0.00","0","10","10","10","15,861","10"
"125.","CBBL","1,101.00","112","0.00","0","1,101","1,101","1,101","112","1,101"
"126.","SHL","275.00","100","2.00","0.73","274","275","274","1,792","273"
"127.","SMFDB","1,810.00","30","-66.00","3.52","1,839","1,839","1,810","40","1,876"
"128.","BBC","1,850.00","10","-37.00","1.96","1,850","1,850","1,850","10","1,887"
"129.","PIC","1,500.00","32","0.00","0","1,500","1,500","1,500","33","1,500"
"130.","KEBL","370.00","50","-2.00","0.54","372","372","370","100","372"
"131.","MERO","1,455.00","11","0.00","0","1,455","1,455","1,455","33","1,455"
"132.","ALICL","1,452.00","47","3.00","0.21","1,452","1,452","1,452","47","1,449"
"133.","SIGS1","19.70","20000","-0.30","1.5","20","20","20","20,000","20"
"134.","GMFIL","189.00","100","-1.00","0.53","189","189","189","110","190"
"135.","NMBMF","1,981.00","28","-39.00","1.93","2,000","2,000","1,981","56","2,020"
"136.","ICFC","215.00","1","-3.00","0","0","0","0","1","218"
"137.","KRBL","265.00","500","-2.00","0.75","262","265","262","1,152","267"
"138.","PURBL","294.00","14","5.00","1.73","294","294","294","14","289"
"139.","LLBS","1,366.00","8","26.00","0","1,340","1,340","1,340","32","1,340"
"140.","GBBLPO","162.00","5000","-3.00","1.82","162","162","162","129,894","165"
"141.","KMFL","2,260.00","16","-40.00","1.74","2,260","2,260","2,260","16","2,300"
